Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque
0.1,5.96E+00,5.63E+03,1.95E+03,0.347,0.0342,0.545
0.133,9.47E+00,6.73E+03,2.26E+03,0.335,0.0456,0.865
0.178,1.15E+01,6.19E+03,1.89E+03,0.305,0.0607,1.05
0.237,1.40E+01,5.64E+03,1.77E+03,0.314,0.081,1.28
0.316,1.94E+01,5.82E+03,1.95E+03,0.336,0.108,1.77
0.421,2.51E+01,5.70E+03,1.71E+03,0.301,0.144,2.29
0.562,2.47E+01,3.96E+03,1.91E+03,0.482,0.192,2.26
0.75,3.37E+01,4.12E+03,1.79E+03,0.434,0.256,3.08
0.999,4.17E+01,3.79E+03,1.74E+03,0.458,0.342,3.81
1.33,4.80E+01,3.17E+03,1.71E+03,0.539,0.455,4.39
1.78,5.07E+01,2.28E+03,1.71E+03,0.748,0.607,4.63
2.37,5.75E+01,1.74E+03,1.69E+03,0.973,0.81,5.25
3.16,6.58E+01,1.28E+03,1.65E+03,1.29,1.08,6.02
4.22,7.66E+01,9.51E+02,1.55E+03,1.63,1.44,7
5.62,9.27E+01,7.87E+02,1.45E+03,1.84,1.92,8.47
7.5,1.13E+02,6.71E+02,1.35E+03,2.02,2.56,10.3
10,1.38E+02,5.79E+02,1.25E+03,2.16,3.42,12.6
13.3,1.68E+02,4.98E+02,1.16E+03,2.33,4.55,15.4
17.8,2.05E+02,4.31E+02,1.07E+03,2.49,6.07,18.8
23.7,2.53E+02,3.79E+02,1.00E+03,2.63,8.1,23.2
31.6,3.11E+02,3.33E+02,9.25E+02,2.77,10.8,28.4
42.2,3.81E+02,2.86E+02,8.58E+02,3,14.4,34.8
56.2,4.68E+02,2.47E+02,7.95E+02,3.22,19.2,42.8
75,5.75E+02,2.12E+02,7.37E+02,3.48,25.6,52.5
100,7.05E+02,1.80E+02,6.82E+02,3.79,34.2,64.4
