temp,visc,con
27.23,3.457,3
27.23,3.832,3
27.23,3.828,3
27.23,3.719,3
27.23,3.637,3
27.23,3.654,3
27.23,3.729,3
27.23,3.531,3
27.23,3.458,3
27.24,3.445,3
27.35,3.3,3
27.63,3.342,3
27.98,3.369,3
28.45,3.233,3
28.92,3.552,3
29.46,3.281,3
29.98,3.177,3
30.56,3.228,3
31.1,3.362,3
31.69,3.132,3
32.25,3.141,3
32.84,3.008,3
33.39,2.91,3
33.97,2.84,3
34.52,2.903,3
35.09,2.869,3
35.63,2.75,3
36.2,2.692,3
36.73,2.643,3
37.29,2.735,3
37.81,2.719,3
38.37,2.782,3
38.88,2.804,3
39.43,2.852,3
39.93,2.821,3
40.48,2.843,3
40.98,2.694,3
41.52,2.685,3
42.01,2.708,3
42.55,2.688,3
43.04,2.667,3
43.57,2.565,3
44.06,2.457,3
44.59,2.75,3
45.08,2.643,3
45.6,2.615,3
46.09,2.505,3
46.61,2.366,3
47.1,2.383,3
47.62,2.314,3
48.1,2.325,3
48.62,2.352,3
49.11,2.585,3
49.63,2.762,3
50.11,2.788,3
50.63,2.776,3
51.11,2.778,3
51.63,2.597,3
52.11,2.626,3
52.63,2.507,3
53.11,2.481,3
53.64,2.424,3
54.12,2.391,3
54.64,2.373,3
55.17,2.478,3
55.65,2.203,3
56.16,2.202,3
56.66,2.204,3
57.16,2.261,3
57.66,2.238,3
58.17,2.205,3
58.66,2.256,3
59.16,2.323,3
59.66,2.283,3
60.17,2.289,3
60.66,2.363,3
61.17,2.558,3
61.66,2.366,3
62.17,2.148,3
62.66,2.04,3
63.17,2.087,3
63.66,2.006,3
64.17,1.94,3
64.66,1.978,3
65.17,2.182,3
65.66,2.1,3
66.17,2.082,3
66.66,2.085,3
67.17,2.124,3
67.66,2.149,3
68.17,2.251,3
68.66,2.294,3
69.17,2.223,3
69.66,2.318,3
70.16,2.215,3
70.66,2.209,3
71.17,2.263,3
71.65,2.258,3
72.17,2.216,3
72.65,2.155,3
73.17,1.979,3
73.65,1.938,3
74.17,1.9,3
74.66,1.9,3
75.16,2.029,3
75.65,1.845,3
76.16,1.951,3
76.65,1.933,3
77.16,1.964,3
77.65,2.001,3
78.16,2.157,3
78.65,2.152,3
79.16,2.087,3
79.65,2.108,3
80.16,2.16,3
80.65,2.037,3
81.16,2.289,3
81.64,1.962,3
82.16,1.984,3
82.65,1.988,3
83.16,1.96,3
83.65,1.925,3
84.16,1.874,3
84.65,1.89,3
85.16,1.885,3
85.64,1.984,3
86.16,2.013,3
86.64,1.938,3
87.15,1.987,3
87.64,1.972,3
88.15,2.023,3
88.64,1.96,3
89.15,1.948,3
89.64,1.895,3
90.15,1.809,3
90.67,1.756,3
91.17,1.669,3
91.68,1.583,3
92.17,1.473,3
92.68,1.462,3
93.17,1.425,3
93.67,1.387,3
94.17,1.343,3
94.67,1.439,3
95.16,1.451,3
95.67,1.488,3
96.16,1.588,3
96.71,1.689,3
97.15,1.699,3
97.65,1.654,3
98.12,1.648,3
98.6,1.66,3
99.12,1.543,3
99.64,1.556,3
100.1,1.343,3
100.7,1.203,3
101.2,1.157,3
101.7,1.028,3
102.2,0.9733,3
102.7,0.979,3
103.2,0.9933,3
103.7,1.077,3
104.1,1.139,3
104.6,1.252,3
105.1,1.234,3
105.7,1.259,3
106.1,1.362,3
106.7,1.389,3
107.1,1.327,3
107.7,1.297,3
108.1,1.231,3
108.7,1.134,3
109.1,1.061,3
109.7,0.8793,3
110.2,0.776,3
110.7,0.7353,3
111.2,0.662,3
111.7,0.6058,3
112.2,0.6402,3
112.7,0.6917,3
113.2,0.7658,3
113.7,0.8354,3
114.1,0.902,3
114.7,0.9671,3
115.1,1.006,3
115.7,1.066,3
116.2,1.042,3
116.7,0.988,3
117.2,0.9431,3
117.7,0.8376,3
118.2,0.7388,3
118.7,0.5932,3
119.2,0.4361,3
119.7,0.3068,3
120.2,0.2946,3
120.7,0.2382,3
121.1,0.2021,3
121.7,0.2132,3
122.1,0.2589,3
122.7,0.3382,3
123.1,0.4267,3
123.7,0.5128,3
124.1,0.5964,3
124.7,0.6616,3
125.2,0.7101,3
125.7,0.7276,3
126.2,0.6682,3
126.7,0.6158,3
