temp,visc,con,time
23.8,41.25,5,1
23.8,41.1,5,1
23.81,41,5,1
23.9,40.8,5,1
24.15,41.03,5,1
24.49,41.02,5,1
24.94,41.36,5,1
25.41,41.07,5,1
25.95,41.37,5,1
26.47,41.26,5,1
27.05,40.96,5,1
27.59,40.56,5,1
28.19,40.97,5,1
28.73,41.13,5,1
29.33,40.51,5,1
29.87,39.96,5,1
30.46,39.67,5,1
31,39.48,5,1
31.59,39.64,5,1
32.12,39.64,5,1
32.69,39.3,5,1
33.26,40.11,5,1
33.79,39.29,5,1
34.35,39.76,5,1
34.87,39.33,5,1
35.41,39.66,5,1
35.93,39.79,5,1
36.47,39.61,5,1
36.98,39.93,5,1
37.51,39.23,5,1
38.01,39.56,5,1
38.54,39.01,5,1
39.05,38.88,5,1
39.57,38.67,5,1
40.07,38.63,5,1
40.59,38.41,5,1
41.08,38.49,5,1
41.61,38.2,5,1
42.1,38.33,5,1
42.62,38.69,5,1
43.11,38.35,5,1
43.62,38.25,5,1
44.12,37.88,5,1
44.63,37.78,5,1
45.12,37.75,5,1
45.64,37.6,5,1
46.13,37.56,5,1
46.64,38.15,5,1
47.14,37.73,5,1
47.65,37.29,5,1
48.14,37.16,5,1
48.64,37.14,5,1
49.14,36.87,5,1
49.65,36.87,5,1
50.14,36.84,5,1
50.65,36.19,5,1
51.14,36.11,5,1
51.65,36.15,5,1
52.14,36.03,5,1
52.65,35.96,5,1
53.14,36.06,5,1
53.65,36.01,5,1
54.14,36.11,5,1
54.65,36.37,5,1
55.14,35.52,5,1
55.65,35.75,5,1
56.14,35.69,5,1
56.65,35.69,5,1
57.14,35.41,5,1
57.65,35.52,5,1
58.14,35.41,5,1
58.65,35.36,5,1
59.14,35.35,5,1
59.65,34.77,5,1
60.14,34.88,5,1
60.65,34.34,5,1
61.14,34.34,5,1
61.65,34.12,5,1
62.13,34.23,5,1
62.65,34.53,5,1
63.14,34.4,5,1
63.65,34.21,5,1
64.14,34.33,5,1
64.65,33.84,5,1
65.13,34.69,5,1
65.66,34.13,5,1
66.13,33.71,5,1
66.65,33.94,5,1
67.14,33.87,5,1
67.65,33.15,5,1
68.14,33.4,5,1
68.65,33.17,5,1
69.18,32.67,5,1
69.67,32.64,5,1
70.18,32.61,5,1
70.67,32.67,5,1
71.18,32.49,5,1
71.67,32.45,5,1
72.18,32.15,5,1
72.68,32.31,5,1
73.18,32.41,5,1
73.67,32.07,5,1
74.18,32.34,5,1
74.68,32.66,5,1
75.18,32.2,5,1
75.67,31.89,5,1
76.18,32.15,5,1
76.67,31.57,5,1
77.18,31.33,5,1
77.68,31.25,5,1
78.18,30.93,5,1
78.67,30.93,5,1
79.18,30.57,5,1
79.67,30.53,5,1
80.18,30.45,5,1
80.67,30.39,5,1
81.18,30.27,5,1
81.67,30.37,5,1
82.17,30.43,5,1
82.67,30.19,5,1
83.17,30.17,5,1
83.66,30.27,5,1
84.17,30.35,5,1
84.64,30.25,5,1
85.14,30.31,5,1
85.63,30.03,5,1
86.14,29.97,5,1
86.63,30.1,5,1
87.14,29.96,5,1
87.64,30.03,5,1
88.15,29.56,5,1
88.64,29.54,5,1
89.17,29.26,5,1
89.66,29.19,5,1
90.18,28.89,5,1
90.67,29.18,5,1
91.18,28.86,5,1
91.67,29.4,5,1
92.18,29.19,5,1
92.66,29.26,5,1
93.18,29.23,5,1
93.66,29.34,5,1
94.17,29.26,5,1
94.66,29.01,5,1
95.17,28.85,5,1
95.66,28.59,5,1
96.16,28.7,5,1
96.63,28.54,5,1
97.14,28,5,1
97.63,28.38,5,1
98.15,28.52,5,1
98.63,27.98,5,1
99.15,29.06,5,1
99.63,28.1,5,1
100.1,27.97,5,1
100.6,28.13,5,1
101.1,28.02,5,1
101.6,28.08,5,1
102.1,28.33,5,1
102.6,28.37,5,1
103.1,28.8,5,1
103.6,28.46,5,1
104.1,28.5,5,1
104.7,28.2,5,1
105.2,27.79,5,1
105.7,27.78,5,1
106.2,27.69,5,1
106.7,27.54,5,1
107.2,27.17,5,1
107.7,27.23,5,1
108.2,26.94,5,1
108.7,27.31,5,1
109.2,27.25,5,1
109.7,27.56,5,1
110.2,27.39,5,1
110.7,28.05,5,1
111.2,28.3,5,1
111.7,27.93,5,1
112.2,28.12,5,1
112.7,28.79,5,1
113.2,28.2,5,1
113.7,27.68,5,1
114.2,27.6,5,1
114.7,27.78,5,1
115.2,28.72,5,1
115.7,27.45,5,1
116.2,27.63,5,1
116.7,26.86,5,1
117.2,26.84,5,1
117.7,26.91,5,1
118.2,27.54,5,1
118.7,27.49,5,1
119.2,27.11,5,1
119.7,27.19,5,1
120.2,27.75,5,1
120.7,28.74,5,1
121.2,28.24,5,1
121.7,28.23,5,1
122.2,28.57,5,1
122.7,30.81,5,1
123.2,28.96,5,1
123.7,28.03,5,1
124.2,28.6,5,1
124.7,27.88,5,1
125.2,28.08,5,1
125.7,27.6,5,1
126.1,27.76,5,1
126.7,27.71,5,1
127.2,28.27,5,1
127.7,28.1,5,1
128.2,28.04,5,1
128.7,27.79,5,1
129.2,28.6,5,1
129.7,29.1,5,1
130.2,28.44,5,1
130.7,28.71,5,1
131.2,28.76,5,1
131.7,29.04,5,1
132.2,29.79,5,1
132.7,29.57,5,1
133.2,29.39,5,1
133.7,29.78,5,1
134.1,29.18,5,1
134.7,28.66,5,1
135.1,28.1,5,1
135.7,28.85,5,1
136.1,28.29,5,1
136.7,29.35,5,1
137.1,29.34,5,1
137.7,28.51,5,1
138.2,28.61,5,1
138.7,29.47,5,1
139.2,30.17,5,1
139.7,29.21,5,1
140.2,29.7,5,1
140.7,30.73,5,1
141.2,29.59,5,1
141.7,29.66,5,1
142.2,29.77,5,1
142.7,29.84,5,1
143.2,29.91,5,1
143.7,29.35,5,1
144.2,29.79,5,1
144.7,29.51,5,1
145.2,30.02,5,1
145.7,29.06,5,1
146.2,29.66,5,1
146.7,29.27,5,1
147.2,30.1,5,1
147.7,30.01,5,1
148.2,29.96,5,1
148.7,30.29,5,1
149.2,30.56,5,1
149.7,30.81,5,1
150.2,30.93,5,1
150.7,31.14,5,1
151.2,31.25,5,1
151.6,30.91,5,1
152.2,30.75,5,1
152.6,30.86,5,1
153.2,31.33,5,1
153.6,30.51,5,1
154.2,31.58,5,1
154.6,30.55,5,1
155.2,30.73,5,1
155.6,30.48,5,1
156.2,30.82,5,1
156.6,31.66,5,1
157.2,31.96,5,1
157.6,31.73,5,1
158.2,32.29,5,1
158.6,32.48,5,1
159.2,32.5,5,1
159.6,32.48,5,1
