temp,visc,con,time
28.11,5.687563927,5,1
28.11,5.687563927,5,1
28.11,5.687563927,5,1
28.11,5.687563927,5,1
28.11,5.687563927,5,1
28.11,5.687563927,5,1
28.12,5.686916615,5,1
28.12,5.686916615,5,1
28.12,5.686916615,5,1
28.12,5.686916615,5,1
28.12,5.686916615,5,1
28.15,5.684976502,5,1
28.29,5.675958592,5,1
28.59,5.656831361,5,1
28.96,5.633602796,5,1
29.44,5.604045643,5,1
29.91,5.575714263,5,1
30.46,5.543297587,5,1
30.99,5.512782487,5,1
31.57,5.480168291,5,1
32.11,5.450506525,5,1
32.71,5.41831173,5,1
33.25,5.389995887,5,1
33.84,5.359744018,5,1
34.39,5.332163594,5,1
34.98,5.303217315,5,1
35.52,5.277283377,5,1
36.1,5.250001857,5,1
36.64,5.225116919,5,1
37.21,5.19936932,5,1
37.74,5.175891395,5,1
38.3,5.151552783,5,1
38.82,5.129369578,5,1
39.37,5.106329423,5,1
39.88,5.085341395,5,1
40.43,5.063100691,5,1
40.94,5.042831458,5,1
41.48,5.021730044,5,1
41.98,5.002512502,5,1
42.52,4.982094028,5,1
43.02,4.96349092,5,1
43.55,4.944080697,5,1
44.04,4.926410785,5,1
44.58,4.90723596,5,1
45.06,4.890447282,5,1
45.59,4.872181879,5,1
46.08,4.855542626,5,1
46.6,4.838138184,5,1
47.09,4.821970851,5,1
47.61,4.805054784,5,1
48.1,4.78933634,5,1
48.62,4.772885064,5,1
49.1,4.7579041,5,1
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.89,2.361070561,5,24
25.97,2.358093099,5,24
26.17,2.350705656,5,24
26.53,2.33760668,5,24
26.93,2.323342871,5,24
27.43,2.305927345,5,24
27.92,2.289288731,5,24
28.47,2.271096044,5,24
29,2.254027414,5,24
29.58,2.235845158,5,24
30.12,2.219362753,5,24
30.71,2.201823638,5,24
31.26,2.185895946,5,24
31.86,2.168964552,5,24
32.4,2.154105976,5,24
32.99,2.138265396,5,24
33.53,2.124113169,5,24
34.11,2.109265997,5,24
34.64,2.096006478,5,24
35.21,2.082061581,5,24
35.74,2.069377699,5,24
36.3,2.056260652,5,24
36.83,2.044106277,5,24
37.37,2.031973444,5,24
37.89,2.020521198,5,24
38.43,2.008860538,5,24
38.94,1.998057731,5,24
39.49,1.986628846,5,24
39.99,1.97643188,5,24
40.52,1.965817402,5,24
41.02,1.955981539,5,24
41.55,1.945738285,5,24
42.05,1.936242198,5,24
42.57,1.926533574,5,24
43.07,1.917354655,5,24
43.59,1.907966501,5,24
44.09,1.899087059,5,24
44.61,1.890001703,5,24
45.1,1.881576019,5,24
45.62,1.872774403,5,24
46.11,1.864608973,5,24
46.63,1.856076277,5,24
47.12,1.848157651,5,24
47.63,1.840038106,5,24
48.12,1.832351537,5,24
48.64,1.824314064,5,24
49.12,1.817001586,5,24
25.77,3.372708883,10,1
25.77,3.372708883,10,1
25.77,3.372708883,10,1
25.76,3.373567714,10,1
25.76,3.373567714,10,1
25.76,3.373567714,10,1
25.77,3.372708883,10,1
25.9,3.361594077,10,1
26.19,3.337129254,10,1
26.61,3.302482138,10,1
27.08,3.264768519,10,1
27.62,3.222754213,10,1
28.17,3.18133749,10,1
28.74,3.139804431,10,1
29.32,3.098919918,10,1
29.9,3.059353177,10,1
30.48,3.021037384,10,1
31.06,2.983910296,10,1
31.63,2.948525209,10,1
32.2,2.914180603,10,1
32.76,2.881405104,10,1
33.31,2.85010563,10,1
33.86,2.819650456,10,1
34.41,2.79000364,10,1
34.95,2.761649541,10,1
35.48,2.734517242,10,1
36.01,2.708047935,10,1
36.53,2.682697658,10,1
37.05,2.65793801,10,1
37.57,2.633747225,10,1
38.08,2.610554249,10,1
38.6,2.587430202,10,1
39.11,2.565246524,10,1
39.61,2.543958009,10,1
40.12,2.522697337,10,1
40.62,2.502283592,10,1
41.13,2.481885842,10,1
41.63,2.462290614,10,1
42.14,2.442700957,10,1
42.64,2.423872852,10,1
43.14,2.405406846,10,1
43.64,2.387291899,10,1
44.14,2.369517428,10,1
44.64,2.352073284,10,1
45.15,2.334610465,10,1
45.64,2.318137423,10,1
46.14,2.301627383,10,1
46.64,2.285410991,10,1
47.15,2.269164193,10,1
47.65,2.253516018,10,1
48.15,2.238137417,10,1
48.65,2.223021019,10,1
49.14,2.208454496,10,1
24.5,2.296240261,10,24
24.5,2.296240261,10,24
24.5,2.296240261,10,24
24.5,2.296240261,10,24
24.56,2.289896698,10,24
24.79,2.265882666,10,24
25.15,2.229234229,10,24
25.6,2.184966426,10,24
26.11,2.13675927,10,24
26.65,2.087856378,10,24
27.21,2.039323802,10,24
27.79,1.991251988,10,24
28.36,1.946047456,10,24
28.94,1.901994843,10,24
29.52,1.859784284,10,24
30.09,1.819988628,10,24
30.66,1.781767638,10,24
31.22,1.745663616,10,24
31.78,1.710913748,10,24
32.33,1.67803153,10,24
32.87,1.646886629,10,24
33.42,1.616266155,10,24
33.95,1.587758254,10,24
34.48,1.560183214,10,24
35.01,1.533496862,10,24
35.53,1.508137675,10,24
36.05,1.483557247,10,24
36.57,1.459720942,10,24
37.08,1.437034317,10,24
37.59,1.415003025,10,24
38.1,1.393599627,10,24
38.61,1.372798175,10,24
39.12,1.352574121,10,24
39.63,1.33290422,10,24
40.13,1.314136715,10,24
40.63,1.29586098,10,24
41.14,1.277706958,10,24
41.64,1.260368509,10,24
42.14,1.243468116,10,24
42.65,1.226664338,10,24
43.15,1.210600598,10,24
43.65,1.194928678,10,24
44.15,1.179634697,10,24
44.65,1.164705413,10,24
45.15,1.15012819,10,24
45.65,1.135890963,10,24
46.15,1.121982208,10,24
46.65,1.108390908,10,24
47.15,1.095106532,10,24
47.65,1.082119002,10,24
48.15,1.069418673,10,24
48.66,1.056750638,10,24
49.15,1.044843067,10,24
24.22,0.651684,15,1
24.22,0.651684,15,1
24.22,0.651684,15,1
24.24,0.651228,15,1
24.38,0.648036,15,1
24.69,0.640968,15,1
25.11,0.631392,15,1
25.59,0.620448,15,1
26.13,0.608136,15,1
26.68,0.595596,15,1
27.25,0.5826,15,1
27.83,0.569376,15,1
28.41,0.556152,15,1
28.99,0.542928,15,1
29.57,0.529704,15,1
30.14,0.516708,15,1
30.7,0.50394,15,1
31.26,0.491172,15,1
31.81,0.478632,15,1
32.37,0.465864,15,1
32.91,0.453552,15,1
33.45,0.44124,15,1
33.98,0.429156,15,1
34.51,0.417072,15,1
35.03,0.405216,15,1
35.55,0.39336,15,1
36.07,0.381504,15,1
36.59,0.369648,15,1
37.1,0.35802,15,1
37.6,0.34662,15,1
38.12,0.334764,15,1
38.62,0.323364,15,1
39.13,0.311736,15,1
39.63,0.300336,15,1
