speed,temp,pres,time,visc,con
20,23,14.7,1,96.02416543,5
20,23,1500,1,22.31293796,5
20,160,1500,1,2.467,5
20,23,14.7,24,237.0213857,5
20,23,1500,24,184.5,5
20,160,1500,24,117.9747708,5
40,23,14.7,1,67.3836006,5
40,23,1500,1,13.88974864,5
40,160,1500,1,1.963,5
40,23,14.7,24,159.3299227,5
40,23,1500,24,123,5
40,160,1500,24,83.13511395,5
60,23,14.7,1,54.77363711,5
60,23,1500,1,9.643385124,5
60,160,1500,1,1.619,5
60,23,14.7,24,126.2981688,5
60,23,1500,24,100.55,5
60,160,1500,24,67.74483523,5
80,23,14.7,1,47.28548912,5
80,23,1500,1,7.033062646,5
80,160,1500,1,1.435,5
80,23,14.7,24,107.1043618,5
80,23,1500,24,90.6,5
80,160,1500,24,58.58664729,5
100,23,14.7,1,42.18974195,5
100,23,1500,1,5.319916055,5
100,160,1500,1,1.411,5
100,23,14.7,24,94.24921037,5
100,23,1500,24,79.3,5
100,160,1500,24,52.34487067,5
20,23,14.7,1,97.72326403,10
20,23,1500,1,98.81581858,10
20,160,1500,1,94.94245354,10
20,23,14.7,24,141.1432066,10
20,23,1500,24,138.7224605,10
20,160,1500,24,102.5992734,10
40,23,14.7,1,69.67794385,10
40,23,1500,1,68.83516755,10
40,160,1500,1,63.19698002,10
40,23,14.7,24,99.59599898,10
40,23,1500,24,99.00314582,10
40,160,1500,24,75.13019088,10
60,23,14.7,1,57.16928913,10
60,23,1500,1,55.71792683,10
60,160,1500,1,49.82581657,10
60,23,14.7,24,81.22093576,10
60,23,1500,24,81.29004623,10
60,160,1500,24,60.59627028,10
80,23,14.7,1,49.68126993,10
80,23,1500,1,47.9585105,10
80,160,1500,1,42.09922877,10
80,23,14.7,24,70.27871373,10
80,23,1500,24,70.68587296,10
80,160,1500,24,50.90070179,10
100,23,14.7,1,44.55542619,10
100,23,1500,1,42.69293139,10
100,160,1500,1,36.94466218,10
100,23,14.7,24,62.81712672,10
100,23,1500,24,63.42608515,10
100,160,1500,24,47.2323172,10
20,23,14.7,1,127.421111,15
20,23,1500,1,94.52357757,15
20,160,1500,1,88.57590835,15
20,23,14.7,24,150.6585638,15
20,23,1500,24,138.4004701,15
20,160,1500,24,75.75258724,15
40,23,14.7,1,87.12262418,15
40,23,1500,1,72.08375839,15
40,160,1500,1,65.96082634,15
40,23,14.7,24,106.0522157,15
40,23,1500,24,100.3773809,15
40,160,1500,24,55.70885899,15
60,23,14.7,1,69.84583842,15
60,23,1500,1,61.51566739,15
60,160,1500,1,52.73185142,15
60,23,14.7,24,86.38731508,15
60,23,1500,24,83.18506949,15
60,160,1500,24,45.84828879,15
80,23,14.7,1,59.7448882,15
80,23,1500,1,54.97113374,15
80,160,1500,1,43.34574433,15
80,23,14.7,24,74.69792472,15
80,23,1500,24,72.80509031,15
80,160,1500,24,39.51994582,15
100,23,14.7,1,52.94593651,15
100,23,1500,1,50.378227,15
100,160,1500,1,38.06666667,15
100,23,14.7,24,66.73649932,15
100,23,1500,24,65.654875,15
100,160,1500,24,34.94127992,15
